Pos Klasse;bib;name;Club;Class;FE1;FE1 Pos;FE2;FE2 Pos;FE3;FE3 Pos;FE4;FE4 Pos;FE5;FE5 Pos;chiptime;diff;gender
1st;109;Patrik Johansson;;Åpen klasse M17+;3:16.12 ;1;11:19.75 ;1;2:22.25 ;1;6:58.98 ;1;9:54.87 ;1;33:51.97;;M
1st;114;Michal Ciesinski;Aron Sportsklubb;Elsykkel - Åpen klasse;2:25.25 ;1;7:12.75 ;1;1:33.45 ;1;4:16.50 ;1;5:59.58 ;1;21:27.53;;M
2nd;113;Dariusz Ksiazek;;Elsykkel - Åpen klasse;2:32.85 ;2;7:44.00 ;2;1:35.29 ;2;4:38.85 ;2;6:26.15 ;2;22:57.14;+1:29.61;M
3rd;112;Jakub Struzinski;;Elsykkel - Åpen klasse;2:41.85 ;4;7:50.50 ;3;1:41.68 ;3;4:58.50 ;3;6:38.33 ;3;23:50.86;+2:23.33;M
4th;111;Kenneth Løvhaug;;Elsykkel - Åpen klasse;2:35.26 ;3;8:31.77 ;4;1:57.87 ;4;5:17.75 ;4;7:56.65 ;4;26:19.30;+4:51.77;M
1st;2;Emily Skeie-Lebreux;CK Nittedal;K15-16;2:27.02 ;1;8:44.57 ;1;1:38.10 ;1;5:13.73 ;1;6:32.95 ;1;24:36.37;;F
2nd;3;Thea Balchen;;K15-16;2:31.68 ;2;10:46.97 ;2;1:51.28 ;2;5:40.77 ;2;8:05.98 ;2;28:56.68;+4:20.31;F
1st;12;Anette Røssum Bastnes;Aron Sportsklubb;Kvinner senior;2:26.21 ;3;8:30.75 ;2;1:48.41 ;7;4:36.47 ;2;6:28.32 ;1;23:50.16;;F
2nd;8;Anna Littorin-Sandbu;SK Rye sykkel;Kvinner senior;2:27.93 ;5;8:26.53 ;1;1:31.94 ;1;4:34.41 ;1;6:49.84 ;5;23:50.65;+0:00.49;F
3rd;13;Nora Stang;SK Rye sykkel;Kvinner senior;2:16.13 ;1;8:43.66 ;4;1:35.02 ;2;4:43.60 ;3;6:34.05 ;3;23:52.46;+0:02.30;F
4th;10;Silje Kreken Almeland;Bærum OCK;Kvinner senior;2:29.37 ;6;8:38.46 ;3;1:47.15 ;5;4:49.60 ;5;6:30.95 ;2;24:15.53;+0:25.37;F
5th;14;Anna Arvidsson;Uddevalla CK;Kvinner senior;2:34.28 ;8;8:46.90 ;5;1:47.21 ;6;4:45.03 ;4;6:44.45 ;4;24:37.87;+0:47.71;F
6th;6;Vera Leivsdottir Knapstad;Bergen MTB Klubb;Kvinner senior;2:27.78 ;4;8:57.42 ;7;1:45.18 ;4;4:59.93 ;6;6:54.95 ;6;25:05.26;+1:15.10;F
7th;7;Nadja Mlodyszewski;Team Letth;Kvinner senior;3:11.17 ;14;8:53.28 ;6;2:03.24 ;11;5:06.89 ;7;6:56.68 ;7;26:11.26;+2:21.10;F
8th;11;Mari Elise Hatlo;Aron Sportsklubb;Kvinner senior;2:36.71 ;9;8:57.75 ;8;1:55.91 ;10;5:24.85 ;9;7:28.88 ;10;26:24.10;+2:33.94;F
9th;15;Synnøve Lofthus;Baktroppen IL;Kvinner senior;2:40.54 ;10;9:17.25 ;9;1:51.36 ;9;5:34.23 ;10;7:20.95 ;9;26:44.33;+2:54.17;F
10th;123;Arivda Ander;Skistars;Kvinner senior;2:22.62 ;2;10:06.06 ;13;1:40.40 ;3;5:15.71 ;8;7:51.67 ;12;27:16.46;+3:26.30;F
11th;1;Sarah Büll;;Kvinner senior;2:44.85 ;11;9:21.05 ;10;1:49.62 ;8;5:42.50 ;12;7:56.73 ;13;27:34.75;+3:44.59;F
12th;5;Morgan Barkley;;Kvinner senior;2:48.23 ;12;9:45.20 ;12;2:05.90 ;12;5:42.42 ;11;7:46.00 ;11;28:07.75;+4:17.59;F
13th;4;Mari Aarrestad;Siggerud IL â€“ sykkel;Kvinner senior;2:50.48 ;13;10:39.61 ;14;2:09.40 ;13;5:54.93 ;13;8:05.87 ;14;29:40.29;+5:50.13;F
;118;Emma Smith;Skistars;Kvinner senior;2:31.32 ;7;9:39.47 ;11;2:09.97 ;14;7:15.08 ;8;;DNF;DNF;;F
1st;16;Lise Marie Wiik;Team Letth;Master Kvinner;2:36.51 ;1;9:29.06 ;1;1:46.44 ;1;5:03.55 ;1;7:12.82 ;1;26:08.38;;F
2nd;17;Ida Karine Nesbø;Siggerud IL â€“ sykkel;Master Kvinner;3:10.55 ;3;10:55.35 ;2;2:13.30 ;3;6:32.06 ;3;9:17.38 ;3;32:08.64;+6:00.26;F
3rd;125;Kristi Henjum;Skistars;Master Kvinner;2:49.15 ;2;25:30.10 ;3;2:09.42 ;2;6:03.35 ;2;8:45.60 ;2;45:17.62;+19:09.24;F
1st;39;Pål Nakken;Molde CK;Master Menn;2:14.27 ;3;7:45.34 ;5;1:23.46 ;2;3:59.43 ;1;5:43.35 ;1;21:05.85;;M
2nd;42;Kristoffer Rakneberg;Bergen MTB Klubb;Master Menn;2:17.00 ;6;7:32.56 ;2;1:25.75 ;4;4:04.40 ;2;5:53.38 ;3;21:13.09;+0:07.24;M
3rd;18;Kristian Hauglum;SK Rye sykkel;Master Menn;2:16.18 ;5;7:32.86 ;3;1:23.06 ;1;4:12.48 ;4;5:56.15 ;4;21:20.73;+0:14.88;M
4th;36;Arild Heimli Johnsen;Siggerud IL â€“ sykkel;Master Menn;2:14.52 ;4;7:33.06 ;4;1:24.41 ;3;4:22.13 ;9;5:47.45 ;2;21:21.57;+0:15.72;M
5th;110;Aslak Mørstad;Siggerud IL â€“ sykkel;Master Menn;2:23.34 ;13;7:13.61 ;1;1:32.69 ;9;4:08.52 ;3;6:07.62 ;7;21:25.78;+0:19.93;M
6th;24;Jon Sandvand;Stovnerkameratene;Master Menn;2:11.67 ;1;7:48.10 ;7;1:27.64 ;5;4:19.30 ;7;6:04.73 ;6;21:51.44;+0:45.59;M
7th;34;Pål Johansen;Aron Sportsklubb;Master Menn;2:20.07 ;8;7:46.50 ;6;1:28.25 ;6;4:15.03 ;5;6:12.65 ;8;22:02.50;+0:56.65;M
8th;41;Børge Hernes;SK Rye sykkel;Master Menn;2:20.71 ;9;8:03.99 ;8;1:37.64 ;14;4:17.97 ;6;6:03.63 ;5;22:23.94;+1:18.09;M
