Rank;Startnumber;Firstname;Surname;Gender;Nat;Club;Race;Class;Total Time;Diff Winner;TimeOfDay;City
1;40;Rikke;Westivg;F;NOR;;SS1;Kvinner;07:37;00:00;2013-06-16T12:47:37.1600000;
2;27;Stina;Bondehagen;F;NOR;;SS1;Kvinner;07:45;00:08;2013-06-16T12:34:45.4400000;
1;7;Tom Ole;Haukom;M;NOR;;SS1;Menn;05:26;00:00;2013-06-16T12:12:26.0440000;
2;8;Ove;Grøndal;M;NOR;NESBYEN;SS1;Menn;05:34;00:08;2013-06-16T12:13:34.2650000;NESBYEN
3;1;Espen;Johnsen;M;NOR;;SS1;Menn;05:37;00:11;2013-06-16T12:06:37.8550000;
4;3;Hermann;Solvær;M;NOR;;SS1;Menn;05:53;00:27;2013-06-16T12:08:53.3170000;
5;13;John Ola;Buøy;M;NOR;;SS1;Menn;05:55;00:29;2013-06-16T12:18:55.5550000;
6;2;Niclas S.;Andersen;M;NOR;;SS1;Menn;05:56;00:30;2013-06-16T12:07:56.2240000;
7;4;Ole Christian;Fagerli;M;NOR;SKEDSMOKORSET;SS1;Menn;06:07;00:41;2013-06-16T12:10:07.4920000;Skedsmokorset
8;6;Jan Helge;Aalbu;M;NOR;;SS1;Menn;06:13;00:47;2013-06-16T12:12:13.0890000;
8;15;Knut;Lønnqvist;M;NOR;;SS1;Menn;06:13;00:47;2013-06-16T12:21:13.4250000;
10;12;Morten;Mølsted;M;NOR;;SS1;Menn;06:18;00:52;2013-06-16T12:18:18.3310000;
11;14;Bård Sturla;Stokke;M;NOR;;SS1;Menn;06:21;00:55;2013-06-16T12:20:21.9210000;
12;20;Frank Jonny;Brenn;M;NOR;;SS1;Menn;06:26;01:00;2013-06-16T12:26:26.5300000;
13;17;Pål Kristian;Gimmestad;M;NOR;;SS1;Menn;06:29;01:03;2013-06-16T12:23:29.5720000;
14;18;Øyvind;Sætra;M;NOR;;SS1;Menn;06:31;01:05;2013-06-16T12:24:31.5090000;
15;16;Gaute;Solheim;M;NOR;;SS1;Menn;06:39;01:13;2013-06-16T12:22:39.1210000;
16;39;Audun;Resser;M;NOR;KONGSBERG;SS1;Menn;06:48;01:22;2013-06-16T12:45:48.3500000;Kongsberg
17;36;Even;Braaten;M;NOR;;SS1;Menn;06:55;01:29;2013-06-16T12:42:55.6980000;
17;22;Christian;Sommer-Larsen;M;NOR;;SS1;Menn;06:55;01:29;2013-06-16T12:28:55.7280000;
19;19;Ole André;Tveit;M;NOR;;SS1;Menn;06:59;01:33;2013-06-16T12:25:59.0130000;
20;24;Roy;Ripe;M;NOR;FAGERSTRAND;SS1;Menn;07:00;01:34;2013-06-16T12:31:00.2900000;Fagerstrand
21;21;Pål;Neverdal;M;NOR;;SS1;Menn;07:06;01:40;2013-06-16T12:28:06.9150000;
22;25;Kristian;Eckhoff;M;NOR;;SS1;Menn;07:08;01:42;2013-06-16T12:32:08.5340000;
23;11;Holm;Grimsrud;M;NOR;;SS1;Menn;07:12;01:46;2013-06-16T12:18:12.6810000;
24;28;Erik;Haugstulen;M;NOR;;SS1;Menn;07:13;01:47;2013-06-16T12:35:13.1890000;
25;10;Thomas;Klingenberg;M;NOR;;SS1;Menn;07:16;01:50;2013-06-16T12:17:16.8430000;
25;26;Simen;Scharning;M;NOR;;SS1;Menn;07:16;01:50;2013-06-16T12:33:16.2860000;
27;9;Hans Petter;Gjevik;M;NOR;;SS1;Menn;07:18;01:52;2013-06-16T12:16:18.3870000;
28;23;Mariusz;Gawel;M;NOR;;SS1;Menn;07:21;01:55;2013-06-16T12:30:21.2420000;
29;38;Glenn Roger;Mørk;M;NOR;HOKKSUND;SS1;Menn;08:02;02:36;2013-06-16T12:46:02.5500000;HOKKSUND
30;31;Sindre;Rasmussen;M;NOR;;SS1;Menn;08:19;02:53;2013-06-16T12:39:19.2820000;
30;30;Sander;Solvær;M;NOR;;SS1;Menn;08:19;02:53;2013-06-16T12:38:19.3350000;
32;33;Runar;Dankel;M;NOR;;SS1;Menn;09:29;04:03;2013-06-16T12:42:29.1980000;
32;32;Trond;Johannessen;M;NOR;;SS1;Menn;09:29;04:03;2013-06-16T12:41:29.6590000;
34;29;Mads;Pedersen;M;NOR;;SS1;Menn;09:40;04:14;2013-06-16T12:38:40.3130000;
35;5;Morgan;Bakken;M;NOR;;SS1;Menn;13:41;08:15;2013-06-16T12:18:41.8830000;
1;40;Rikke;Westivg;F;NOR;;SS2;Kvinner;12:11;00:00;2013-06-16T13:33:34.0000000;
2;27;Stina;Bondehagen;F;NOR;;SS2;Kvinner;12:34;00:23;2013-06-16T13:20:49.0000000;
1;1;Espen;Johnsen;M;NOR;;SS2;Menn;08:44;00:00;2013-06-16T12:53:07.0000000;
2;8;Ove;Grøndal;M;NOR;NESBYEN;SS2;Menn;09:04;00:20;2013-06-16T13:00:30.0000000;NESBYEN
3;3;Hermann;Solvær;M;NOR;;SS2;Menn;09:13;00:29;2013-06-16T12:55:20.0000000;
4;13;John Ola;Buøy;M;NOR;;SS2;Menn;09:17;00:33;2013-06-16T13:05:22.0000000;
5;2;Niclas S.;Andersen;M;NOR;;SS2;Menn;09:32;00:48;2013-06-16T12:54:36.0000000;
6;6;Jan Helge;Aalbu;M;NOR;;SS2;Menn;09:37;00:53;2013-06-16T12:58:24.0000000;
